,title,company_name,location,pay,summary_bullets,post_url
0,Site Reliability Engineer (SRE),Comcentric,"Austin, TX•Remote","$109,000 - $159,000 a year",•6 Figure Base Salary (see below for further information).,https://www.indeed.com/viewjob?jk=445d6ba1faa59d16
1,Front End Developer,NA,"Austin, TX 78753 (Heritage Hills area)•Temporarily Remote",$30 - $35 an hour,•1-Required Experience in web development or a related field.,https://www.indeed.com/viewjob?jk=5083321ba7d9fc4d
2,Software Developer,General Motors,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=08709bd100e1ccd0
3,Frontend .Net Developer - Texas locals only,NA,"Austin, TX•Temporarily Remote","$41,109 - $122,638 a year","•Job Types: Full-time, Contract.",https://www.indeed.com/viewjob?jk=dbe7021c477241de
4,Node JavaScript Developer (Remote Opportunity),IQVIA,"Dripping Springs, TX 78620•Remote",NA,NA,https://www.indeed.com/viewjob?jk=2338cdc1ea355a88
5,Software Engineer,Dell,"Austin, TX 78701 (University of Texas area)•Remote",NA,NA,https://www.indeed.com/viewjob?jk=f9dbc53d956fe62c
6,Software Engineer II,The Home Depot,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=fff969221822f495
7,Software Development Engineer,Intel,"Austin, TX 78746 (Barton Hills area)+1 location",NA,•Basic understanding of MPI and OpenMP.,https://www.indeed.com/viewjob?jk=2352cdddce4e19dd
8,"Junior Software Engineer, Full-Stack",NA,"Austin, TX 78701 (Downtown area)•Remote","$85,000 a year","•We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.",https://www.indeed.com/viewjob?jk=cf9be9c2841ab17d
9,Software Development Engineer II,Expedia.com,"Austin, TX+5 locations",NA,•You will develop and test standard software applications and related programs and procedures to ensure they meet design requirements.,https://www.indeed.com/viewjob?jk=cdd2f5e4bcb0ede2
10,Backend Developer (Web Development),NA,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=902943a61ba31429
11,Lead II - Software Engineering,UST Global,"Austin, TX",NA,•Develop user interfaces business software components.,https://www.indeed.com/viewjob?jk=3ae85a2c1a8ee87a
12,Embedded Test engineer,NA,"Austin, TX 78730•Temporarily Remote",Up to $70 an hour,•Employment Type: *12+ Months contract.,https://www.indeed.com/viewjob?jk=2e0167421104242c
13,(USA) Frontend Coach (Non-Complex) - WM,Walmart,"Manor, TX 78653",NA,"•Bachelor of Science in Business Management and Leadership through Live Better U and Bellevue University, Certificate of Completion in People and Business…",https://www.indeed.com/viewjob?jk=c4f8b218b36a4fdf
14,Software Engineer,NA,"Austin, TX 78701 (Downtown area)•Temporarily Remote","$70,000 - $130,000 a year",NA,https://www.indeed.com/viewjob?jk=5bf3de508b97f54b
15,Software Engineer,NA,"Austin, TX 78701 (Downtown area)•Temporarily Remote","$70,000 - $130,000 a year",NA,https://www.indeed.com/viewjob?jk=5bf3de508b97f54b
16,Software Engineer – New College Graduate,Silicon Labs,"Austin, TX 78701 (Downtown area)",NA,•Understanding of hardware vs. software tradeoffs.,https://www.indeed.com/viewjob?jk=79e2fd39b6ee5c9d
17,Software Development Engineer - AWS Marketplace,"Amazon Dev Center U.S., Inc.","Austin, TX+5 locations",NA,"•AWS Marketplace enables software sellers to reach all AWS customers, and it enables software buyers to easily discover, purchase and consume software.",https://www.indeed.com/viewjob?jk=8859750b78daeb23
18,Associate Software Engineer,NA,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=09f69b9a7795b105
19,Software Eng 1,Ultra Electronics,"Austin, TX 78744",NA,"•Responsible for the design, modification, and implementation of software programs to meet the requirements and…",https://www.indeed.com/viewjob?jk=17c43c9a17d00e12
20,Software Developer (Flexible Work Options),Emerson,"Austin, TX+2 locations",NA,"•It consists of a variety of rich desktop and web applications used for engineering and operating a process control system, plus real-time embedded firmware in…",https://www.indeed.com/viewjob?jk=bd16ce8acc5a7b44
21,SOFTWARE ENGINEER ART,NA,"Austin, TX 78717",NA,•Ability to work independently and openly communicate with colleagues.,https://www.indeed.com/viewjob?jk=9f2818eb330b10ec
22,Software Engineer - Remote,iboss,"Round Rock, TX•Remote",NA,"•Our development scope extends from device specific driver, service, and communication protocols to cloud scalable connectivity and big data processing through…",https://www.indeed.com/viewjob?jk=233f7f4038b8d146
23,Front-End Engineer - Marketing Engineering,Cloudflare,"Austin, TX+3 locations",NA,•Strong understanding of Google Analytics or similar web analytics platforms.,https://www.indeed.com/viewjob?jk=c1dedb3158238550
24,Java Developer,NA,"Austin, TX•Remote",NA,•\* Working knowledge of software development methods and processes including Waterfall and.,https://www.indeed.com/viewjob?jk=f4f5ffe44a4a9e8b
25,Java Developer,NA,"Austin, TX","Up to $110,000 a year",•4-6 Year Exp.,https://www.indeed.com/viewjob?jk=beb3d52a3c14697a
26,Java Developer,NA,"Austin, TX•Temporarily Remote",NA,•Good working experience with Docker.,https://www.indeed.com/viewjob?jk=724677939db9882e
27,Diagnostics Software Engineer - Distributed Virtual Memory (...,"Advanced Micro Devices, Inc.","Austin, TX+3 locations•Remote",NA,•Proficient in C/C++ programming.,https://www.indeed.com/viewjob?jk=74e54fe8815b78cc
28,Lead Full-Stack Engineer,Varsity Tutors,"Austin, TX",NA,"•Be effective in a team environment working with fellow engineers, product management, and…",https://www.indeed.com/viewjob?jk=1ba13a50512b17fa
29,Enterprise Software Development and Design Lead,Ayata,"Austin, TX",NA,•Understand business requirements and propose software solutions to meet them.,https://www.indeed.com/viewjob?jk=e419ae2cd33e4057
30,Enterprise Software Development and Design Lead,Ayata,"Austin, TX",NA,•Understand business requirements and propose software solutions to meet them.,https://www.indeed.com/viewjob?jk=e419ae2cd33e4057
31,Software Engineer,Indeed,"Austin, TX•Remote","$86,000 - $124,000 a year",NA,https://www.indeed.com/viewjob?jk=6035ccad5f4329a8
32,SITE RELIABILITY ENGR Virtual Hiring Event,SAIC,"Austin, TX 78758 (North Burnett area)",NA,NA,https://www.indeed.com/viewjob?jk=130ecc151fa8f69a
33,"Software Development Engineer 2, AWS Search Services","Amazon Web Services, Inc.","Austin, TX",NA,"•Programming experience with at least one modern language such as Java, C++, or C#…",https://www.indeed.com/viewjob?jk=c8dd18ff97a3129f
34,Member Technical Staff - Opportunity for Working Remotely Au...,VMware,"Austin, TX•Remote",NA,"•Familiarity with software security concepts, challenges, and paradigms.",https://www.indeed.com/viewjob?jk=b5ef12bd2e1e5271
35,Site Reliability Engineer,Softvision,"Austin, TX",NA,•Partner with development teams to improve services through rigorous testing and release…,https://www.indeed.com/viewjob?jk=5ddb83d97da2bc90
36,PHP Developer,NA,"Austin, TX•Temporarily Remote",NA,NA,https://www.indeed.com/viewjob?jk=f09d77b129f14174
37,"Software Developer in Austin, TX, USA",NA,"Austin, TX•Temporarily Remote",NA,NA,https://www.indeed.com/viewjob?jk=53e0acc22f3f9d32
38,Associate Software Engineer,NA,"Austin, TX•Temporarily Remote",NA,NA,https://www.indeed.com/viewjob?jk=f762be6a35907000
39,Site Reliability Engineer IV,Charles Schwab,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=608c4edbfb3a51fe
40,Java/J2EE Developer,NA,"Austin, TX 78759 (Arboretum area)•Temporarily Remote","$70,000 - $140,000 a year",NA,https://www.indeed.com/viewjob?jk=0ee6b8f8de90be0c
41,Genesys Developer,NA,"Austin, TX",NA,•Candidate with experience of Genesys SDK.,https://www.indeed.com/viewjob?jk=c8fed14b2521bb32
42,DevOps Automation Engineer,TCS,"Austin, TX",NA,NA,https://www.indeed.com/viewjob?jk=ba2188076f71bb04
43,Backend Java Developer,NA,"Austin, TX 78746•Temporarily Remote","$77,563 - $184,367 a year",•Oracle No 5-10 years Is Required.,https://www.indeed.com/viewjob?jk=376e4bf7a86d4bed
44,"Manager, Linux GPU Software Development - 109523","Advanced Micro Devices, Inc.","Austin, TX",NA,•Lead team of system software engineers to develop and validate the Linux GPU kernel driver and…,https://www.indeed.com/viewjob?jk=c9f25ad204e25b82
45,"Manager, Linux GPU Software Development - 109523","Advanced Micro Devices, Inc.","Austin, TX+1 location",NA,•Lead team of system software engineers to develop and validate the Linux GPU kernel driver and…,https://www.indeed.com/viewjob?jk=c9f25ad204e25b82
46,Software Engineer - Core Technology Group,Electronic Arts,"Austin, TX",NA,"•Experience with source control systems such as Git,…",https://www.indeed.com/viewjob?jk=d52234a3275b07d9
47,Gameplay Engineer,Zynga,"Austin, TX 78717•Temporarily Remote",NA,•Experience shipping software to the public.,https://www.indeed.com/viewjob?jk=85a5d79771ef2381
48,Site Reliability Engineer (SRE),IBM,"Austin, TX 73301 (St Edwards area)",NA,"•Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",https://www.indeed.com/viewjob?jk=7859ecd13865e9e0
49,Web Developer,NA,"Austin, TX 78744•Remote","From $45,000 a year",•Highly motivated and disciplined self-starter with excellent oral and written communication skills.,https://www.indeed.com/viewjob?jk=fe69fc31fbe7b5b1
50,Kubernetes and AWS DevOps Engineer (ACLs) - RFR 68787,Pinnacle Group,"Austin, TX",NA,•Participate in deep architectural discussions to ensure solutions are designed for successful deployment in the cloud.,https://www.indeed.com/viewjob?jk=5d49fba76b17a127
51,General | Lead Backend Software Engineer,NA,"Austin, TX 73301 (St Edwards area)+1 location•Remote",NA,NA,https://www.indeed.com/viewjob?jk=2e3867a3f5f661f3
52,Sedera,NA,"Austin, TX 78735 (East Oak Hill area)•Temporarily Remote","$75,000 - $100,000 a year","•1+ years of professional experience in software development with Java, C#, or other object oriented language.",https://www.indeed.com/viewjob?jk=e2a13f05dcead232
53,Cloudflare,Cloudflare,"Austin, TX+10 locations",NA,NA,https://www.indeed.com/viewjob?jk=cd39a093f52999dd
54,Team Multitude,NA,"Austin, TX•Temporarily Remote","$80,000 - $115,000 a year",NA,https://www.indeed.com/viewjob?jk=9eb29a85925e3cf2
55,Home Depot / THD,Home Depot / THD,"Austin, TX 73301 (St Edwards area)",NA,•Participates in learning activities around modern software design and development core practices (communities of practice).,https://www.indeed.com/viewjob?jk=0923dacc1e55bb71
56,Square,Square,"Austin, TX",NA,•Experience shipping and maintaining Android apps.,https://www.indeed.com/viewjob?jk=cedd4a087a4e8f76
57,Affirma Consulting,Affirma Consulting,"Austin, TX 78704 (South Lamar-South Congress area)+1 location",NA,"•Proven experience working the full development life cycle including discovery, implementation, and delivery (on…",https://www.indeed.com/viewjob?jk=309cdbed351745a3
58,Aerotek,Aerotek,"Austin, TX 73301 (St Edwards area)",$68 an hour,NA,https://www.indeed.com/viewjob?jk=d9ac683372222d66
59,TEXAS COMMISSION ON LAW ENFORCEMENT,TEXAS COMMISSION ON LAW ENFORCEMENT,"Austin, TX 78723 (St. Johns area)•Remote","$70,000 - $75,000 a year","•Maintains knowledge of changing hardware, software, and security…",https://www.indeed.com/viewjob?jk=2e4cd75d38b0c0fd
